year	year_id	stat_category	year_stat_category_id	option_name	option_id
2016	12381	hitting	10840	with runrs	10360
2016	12381	hitting	10840	hits scorepos	10361
2016	12381	hitting	10840	vs LHP	10362
2016	12381	hitting	10840	leadoff pct	10363
2016	12381	hitting	10840	RBI3rd	10364
2016	12381	hitting	10840	H-Pinchit	10365
2016	12381	hitting	10840	Adv-Ops	10366
2016	12381	hitting	10840	with 2 outs	10367
2016	12381	hitting	10840	vs RHP	10368
2016	12381	hitting	10840	with runrs2	10372
2016	12381	hitting	10840	with scorepos2	10373
2016	12381	hitting	10840	bases empty	10374
2016	12381	hitting	10840	bases loaded	10375
2016	12381	pitching	10841	leadoff pct	10376
2016	12381	pitching	10841	runners	10377
2016	12381	pitching	10841	vs LHB	10378
2016	12381	pitching	10841	with 2Outs	10379
2016	12381	pitching	10841	emtpy	10380
2016	12381	pitching	10841	with scorepos	10381
2016	12381	pitching	10841	with scorepos2	10382
2016	12381	pitching	10841	with runners2	10383
2016	12381	pitching	10841	bases loaded	10384
2016	12381	pitching	10841	vs RHB	10385
